|        a         |        b         | s |       out        |
| 0001011100101001 | 0001001100100100 | 1 | 0000010000000101 |
| 0001101111011110 | 0000010011010010 | 0 | 0010000010110000 |
| 0001111001100100 | 0010000100000001 | 1 | 1111110101100011 |
| 0001101110111010 | 0001000001111000 | 0 | 0010110000110010 |
| 0001001010000001 | 0001011011100001 | 1 | 1111101110100000 |
| 0010010101011111 | 0010000000010011 | 1 | 0000010101001100 |
| 0001000100010010 | 0000011101000001 | 1 | 0000100111010001 |
| 0000111011100000 | 0001100100111110 | 0 | 0010100000011110 |
| 0010011011000010 | 0000100100110001 | 1 | 0001110110010001 |
| 0001011111100010 | 0000111011110001 | 0 | 0010011011010011 |
| 0001110010001000 | 0001011100110100 | 1 | 0000010101010100 |
| 0010001111011101 | 0000101011100111 | 0 | 0010111011000100 |
| 0001110110011011 | 0010001111111100 | 1 | 1111100110011111 |
| 0010011011000010 | 0010001001000100 | 1 | 0000010001111110 |
| 0001110011111000 | 0001000010010011 | 1 | 0000110001100101 |
| 0010000011000101 | 0001110100100010 | 1 | 0000001110100011 |
| 0010000001110001 | 0001010100010111 | 1 | 0000101101011010 |
| 0000101110000110 | 0001011110011100 | 0 | 0010001100100010 |
| 0000010010000100 | 0010000011010001 | 1 | 1110001110110011 |
| 0010011011010111 | 0000100101110011 | 0 | 0011000001001010 |
| 0010010101110100 | 0001001010010111 | 0 | 0011100000001011 |
| 0001010111000111 | 0010001010110001 | 0 | 0011100001111000 |
| 0001000000000101 | 0000110000000100 | 1 | 0000010000000001 |
| 0001010001101001 | 0010010110100100 | 0 | 0011101000001101 |
| 0001110001001111 | 0000011000101001 | 0 | 0010001001111000 |
| 0001100001001011 | 0000100001111101 | 1 | 0000111111001110 |
| 0000111111100011 | 0000011010011001 | 1 | 0000100101001010 |
| 0000010001100100 | 0001001010111111 | 1 | 1111000110100101 |
| 0000111011011000 | 0010010111011000 | 0 | 0011010010110000 |
| 0000011110010001 | 0001100100110101 | 0 | 0010000011000110 |
| 0001101011110111 | 0010010110111111 | 1 | 1111010100111000 |
| 0000111100010001 | 0001010010001001 | 0 | 0010001110011010 |
| 0001101100010001 | 0001001010100011 | 0 | 0010110110110100 |
| 0010001011000110 | 0010010100000101 | 0 | 0100011111001011 |
| 0001011110100000 | 0010010001000001 | 0 | 0011101111100001 |
| 0000011010111001 | 0000111010001111 | 0 | 0001010101001000 |
| 0001001110011010 | 0001101111001001 | 1 | 1111011111010001 |
| 0001110100001101 | 0001011011110110 | 0 | 0011010000000011 |
| 0001111101001100 | 0001111010110011 | 1 | 0000000010011001 |
| 0001100001011001 | 0010011001011100 | 1 | 1111000111111101 |
| 0000010110111000 | 0001011110011011 | 1 | 1110111000011101 |
| 0000010101010010 | 0001101011000111 | 0 | 0010000000011001 |
| 0000111111000110 | 0001010001000010 | 1 | 1111101110000100 |
| 0000101010111111 | 0001100010110000 | 1 | 1111001000001111 |
| 0010010001111110 | 0000111110111101 | 1 | 0001010011000001 |
| 0010000101011001 | 0010001000110100 | 0 | 0100001110001101 |
| 0000011111001100 | 0000011101100001 | 1 | 0000000001101011 |
| 0000111101011001 | 0010000011100001 | 0 | 0011000000111010 |
| 0001111011011111 | 0010001001000110 | 1 | 1111110010011001 |
| 0001110011101101 | 0000011001011000 | 0 | 0010001101000101 |
| 0001010010000000 | 0001100010010011 | 1 | 1111101111101101 |
| 0001111110100101 | 0010011011011110 | 1 | 1111100011000111 |
| 0001000110000000 | 0000010101100100 | 0 | 0001011011100100 |
| 0001101010011011 | 0010001111011000 | 1 | 1111011011000011 |
| 0000100101010110 | 0000011000011001 | 0 | 0000111101101111 |
| 0001110100111011 | 0010000011010110 | 1 | 1111110001100101 |
| 0000111011101011 | 0010010110011001 | 0 | 0011010010000100 |
| 0001000011000111 | 0001111111000100 | 1 | 1111000100000011 |
| 0000010000100100 | 0010001001111101 | 0 | 0010011010100001 |
| 0010010011010011 | 0010010110010101 | 0 | 0100101001101000 |
| 0000110001111100 | 0000011011111101 | 0 | 0001001101111001 |
| 0001100111010100 | 0000100111001111 | 1 | 0001000000000101 |
| 0000011111000101 | 0001101011010001 | 0 | 0010001010010110 |
| 0000111010010010 | 0001101110101100 | 1 | 1111001011100110 |
| 0001111100010110 | 0000100111010001 | 0 | 0010100011100111 |
| 0010001011011100 | 0000101010001110 | 1 | 0001100001001110 |
| 0001101110101110 | 0001110011000110 | 0 | 0011100001110100 |
| 0001010101110110 | 0000010010110110 | 1 | 0001000011000000 |
| 0000010111011001 | 0000100101100111 | 1 | 1111110001110010 |
| 0001000001010101 | 0001101010001111 | 0 | 0010101011100100 |
| 0001100110111111 | 0010000011011001 | 0 | 0011101010011000 |
| 0000100011011110 | 0000100000101011 | 1 | 0000000010110011 |
| 0001010111101111 | 0001011101001010 | 0 | 0010110100111001 |
| 0001001110111001 | 0001101000001000 | 0 | 0010110111000001 |
| 0000110110101011 | 0001001000011001 | 1 | 1111101110010010 |
| 0001101001110111 | 0001010010011101 | 1 | 0000010111011010 |
| 0001001001111010 | 0000010100001000 | 0 | 0001011110000010 |
| 0001111101111011 | 0000011000101001 | 0 | 0010010110100100 |
| 0010001011110100 | 0000010110011000 | 1 | 0001110101011100 |
| 0000101010110010 | 0001010111010100 | 1 | 1111010011011110 |
| 0000010111010100 | 0010010100101001 | 1 | 1110000010101011 |
| 0000111011000110 | 0001111110101001 | 0 | 0010111001101111 |
| 0001000101001110 | 0001111111100111 | 0 | 0011000100110101 |
| 0010010101000111 | 0001000011101000 | 0 | 0011011000101111 |
| 0000111000001010 | 0010000011111011 | 0 | 0010111100000101 |
| 0001011011000001 | 0000101010101101 | 0 | 0010000101101110 |
| 0001111110011101 | 0001101011011001 | 1 | 0000010011000100 |
| 0001100001111011 | 0000011010100101 | 1 | 0001000111010110 |
| 0010010110100101 | 0001000010011101 | 0 | 0011011001000010 |
| 0001110100001101 | 0000100010100000 | 0 | 0010010110101101 |
| 0010010111111100 | 0001101011101101 | 1 | 0000101100001111 |
| 0001011100111100 | 0000011000110110 | 1 | 0001000100000110 |
| 0001110111101000 | 0010000111010101 | 0 | 0011111110111101 |
| 0001111010011001 | 0010001010010010 | 0 | 0100000100101011 |
| 0001001011010011 | 0001101110100000 | 0 | 0010111001110011 |
| 0001111100000011 | 0001010000000111 | 1 | 0000101011111100 |
| 0000011101100000 | 0010010000101010 | 1 | 1110001100110110 |
| 0001100111110101 | 0001101010011011 | 1 | 1111111101011010 |
| 0010010001111010 | 0001110011010110 | 1 | 0000011110100100 |
| 0000111001010110 | 0001100000001111 | 0 | 0010011001100101 |
| 0010000100000111 | 0001101000110010 | 1 | 0000011011010101 |
| 0000101111000010 | 0001000001111001 | 0 | 0001110000111011 |
| 0001010100001100 | 0010010011111010 | 1 | 1111000000010010 |
| 0010001010010111 | 0000011111001101 | 1 | 0001101011001010 |
| 0000010100100101 | 0001110100110011 | 1 | 1110011111110010 |
| 0000101011101110 | 0000100101011011 | 1 | 0000000110010011 |
| 0001000001111110 | 0000100111001011 | 0 | 0001101001001001 |
| 0001010100111111 | 0000011001001100 | 1 | 0000111011110011 |
| 0000110110010001 | 0000101110011000 | 1 | 0000000111111001 |
| 0000010001010001 | 0001111001010110 | 1 | 1110010111111011 |
| 0001010011001010 | 0000100001000000 | 1 | 0000110010001010 |
| 0000100001011010 | 0000100101000100 | 0 | 0001000110011110 |
| 0001101001100111 | 0001110011000110 | 0 | 0011011100101101 |
| 0000100000100001 | 0010000110000011 | 0 | 0010100110100100 |
| 0001010111101001 | 0000101000100111 | 1 | 0000101111000010 |
| 0001101100000111 | 0001110001000001 | 1 | 1111111011000110 |
| 0001111000101110 | 0001101011011101 | 1 | 0000001101010001 |
| 0000101110111100 | 0001010011100111 | 1 | 1111011011010101 |
| 0000101000011110 | 0001000010100100 | 1 | 1111100101111010 |
| 0010000000101001 | 0000010000100101 | 0 | 0010010001001110 |
| 0001110011000111 | 0001101111011101 | 1 | 0000000011101010 |
| 0000010110100110 | 0001111100010000 | 0 | 0010010010110110 |
| 0001110111000000 | 0001101001100000 | 1 | 0000001101100000 |
| 0001100010001111 | 0000010000110101 | 0 | 0001110011000100 |
| 0001100000110010 | 0001111100101001 | 1 | 1111100100001001 |
| 0001001100111011 | 0001110111000001 | 1 | 1111010101111010 |
| 0001100110101110 | 0000010101000101 | 0 | 0001111011110011 |
| 0001111101000011 | 0001000010101110 | 1 | 0000111010010101 |
| 0000110101011101 | 0000101010011100 | 1 | 0000001011000001 |
| 0010010010001101 | 0001111010100010 | 0 | 0100001100101111 |
| 0000100001101110 | 0001100100000011 | 1 | 1110111101101011 |
| 0000010001100101 | 0001010010111001 | 0 | 0001100100011110 |
| 0001011010011010 | 0000110100011010 | 0 | 0010001110110100 |
| 0001010111100011 | 0000101110111100 | 1 | 0000101000100111 |
| 0001110001110000 | 0000100000010010 | 0 | 0010010010000010 |
| 0001110110100011 | 0010010000010010 | 0 | 0100000110110101 |
| 0001100110101001 | 0001001111011110 | 0 | 0010110110000111 |
| 0001000000010110 | 0010001010100011 | 0 | 0011001010111001 |
| 0001001111011100 | 0000101011010000 | 0 | 0001111010101100 |
| 0010000000100010 | 0010001100110100 | 1 | 1111110011101110 |
| 0000110111010110 | 0000111010101001 | 0 | 0001110001111111 |
| 0001011010000111 | 0001100101001111 | 0 | 0010111111010110 |
| 0000110110011011 | 0001100110000000 | 1 | 1111010000011011 |
| 0010001101011110 | 0000011010101111 | 1 | 0001110010101111 |
| 0000101101100100 | 0010010110101101 | 1 | 1110010110110111 |
| 0000010101001000 | 0010010000001010 | 0 | 0010100101010010 |
| 0001110111010001 | 0000111011110111 | 0 | 0010110011001000 |
| 0000110100100111 | 0001001001111010 | 0 | 0001111110100001 |
| 0001011110000011 | 0000111101110011 | 1 | 0000100000010000 |
| 0000101011110111 | 0001000001111010 | 1 | 1111101001111101 |
| 0000011100011110 | 0010010011001001 | 1 | 1110001001010101 |
| 0000110011110101 | 0000101110011111 | 1 | 0000000101010110 |
| 0000110011011000 | 0000101000010010 | 1 | 0000001011000110 |
| 0001101000111000 | 0001110000011011 | 1 | 1111111000011101 |
| 0010011001000100 | 0000010101011000 | 1 | 0010000011101100 |
| 0010001001000011 | 0000010110110100 | 1 | 0001110010001111 |
| 0000110011100111 | 0001010010100110 | 0 | 0010000110001101 |
| 0000010000111011 | 0001110010111111 | 0 | 0010000011111010 |
| 0000010100001000 | 0000010001000000 | 1 | 0000000011001000 |
| 0001011101101100 | 0001001001111100 | 0 | 0010100111101000 |
| 0001110010011100 | 0000010100001111 | 0 | 0010000110101011 |
| 0001011011000110 | 0001000000110000 | 0 | 0010011011110110 |
| 0000110011000000 | 0001000110000000 | 1 | 1111101101000000 |
| 0000101101010010 | 0000010110000100 | 1 | 0000010111001110 |
| 0000110111011100 | 0000010001000010 | 0 | 0001001000011110 |
| 0001000000101000 | 0001001100111001 | 0 | 0010001101100001 |
| 0001111110110111 | 0001000101101100 | 1 | 0000111001001011 |
| 0000011001101011 | 0000101111000110 | 0 | 0001001000110001 |
| 0001011010110100 | 0001011011101001 | 1 | 1111111111001011 |
| 0001111111101100 | 0000011001010011 | 1 | 0001100110011001 |
| 0000110111100101 | 0001110011000101 | 0 | 0010101010101010 |
| 0010011011110110 | 0001010111000100 | 0 | 0011110010111010 |
| 0001101011101000 | 0001001011111001 | 1 | 0000011111101111 |
| 0001101100010100 | 0000110011011111 | 0 | 0010011111110011 |
| 0000101100011000 | 0000100011001001 | 0 | 0001001111100001 |
| 0010000111001010 | 0001001001000110 | 1 | 0000111110000100 |
| 0000011011001010 | 0000110100011101 | 0 | 0001001111100111 |
| 0001101001111001 | 0001101110110001 | 0 | 0011011000101010 |
| 0000011000001101 | 0000110010111010 | 1 | 1111100101010011 |
| 0010001101110111 | 0000011011110010 | 0 | 0010101001101001 |
| 0000100010010011 | 0001110101110100 | 1 | 1110101100011111 |
| 0000111001110011 | 0000101000110111 | 1 | 0000010000111100 |
| 0000010001001101 | 0010001110110000 | 1 | 1110000010011101 |
| 0000100100111100 | 0001011110101110 | 0 | 0010000011101010 |
| 0001111111001001 | 0000100101110111 | 1 | 0001011001010010 |
| 0001110001000001 | 0010000001101111 | 0 | 0011110010110000 |
| 0000011010011110 | 0010010110100000 | 1 | 1110000011111110 |
| 0010000110100001 | 0000010001000110 | 1 | 0001110101011011 |
| 0000110001000110 | 0000110111111101 | 0 | 0001101001000011 |
| 0001101001100011 | 0001000000000101 | 1 | 0000101001011110 |
| 0000111101000110 | 0000100100111110 | 0 | 0001100010000100 |
| 0000111010101100 | 0000110110110001 | 0 | 0001110001011101 |
| 0001001000100011 | 0000101001001110 | 0 | 0001110001110001 |
| 0000110011100100 | 0001001100110001 | 0 | 0010000000010101 |
| 0010011010001001 | 0001110101110110 | 0 | 0100001111111111 |
| 0001100010001001 | 0001101011010111 | 1 | 1111110110110010 |
| 0010000100100010 | 0000101001000101 | 0 | 0010101101100111 |
| 0001001100111111 | 0000100111111111 | 1 | 0000100101000000 |
| 0001001011111111 | 0000101101000011 | 0 | 0001111001000010 |
| 0010011011001111 | 0000011001110111 | 1 | 0010000001011000 |
| 0000111001110111 | 0000011000101100 | 1 | 0000100001001011 |
| 0000011111010110 | 0001110101010010 | 0 | 0010010100101000 |
| 0000101001000111 | 0001010111001111 | 0 | 0010000000010110 |
| 0001110000111111 | 0000110110111101 | 1 | 0000111010000010 |
| 0000101000110111 | 0001100010100110 | 0 | 0010001011011101 |
| 0010000011111010 | 0010000000001000 | 1 | 0000000011110010 |
| 0001001001001110 | 0010001101111101 | 1 | 1110111011010001 |
| 0001110101011111 | 0000111110110011 | 1 | 0000110110101100 |
| 0010001000010110 | 0000010001101100 | 0 | 0010011010000010 |
| 0001110010000011 | 0001010001001111 | 0 | 0011000011010010 |
| 0001000101110000 | 0001111001111010 | 1 | 1111001011110110 |
| 0010011011000001 | 0010010010101010 | 1 | 0000001000010111 |
| 0001111010011100 | 0010000010000001 | 1 | 1111111000011011 |
| 0000011100001010 | 0001110101001110 | 1 | 1110100110111100 |
| 0000101011111111 | 0000100100100000 | 1 | 0000000111011111 |
| 0000101111110101 | 0000100100111101 | 0 | 0001010100110010 |
| 0001111010000001 | 0000110111001001 | 0 | 0010110001001010 |
| 0010010100110010 | 0001110001001111 | 1 | 0000100011100011 |
| 0001100101101101 | 0010001000101010 | 0 | 0011101110010111 |
| 0001010111111100 | 0001010000110100 | 1 | 0000000111001000 |
| 0001111010001000 | 0010001000001000 | 0 | 0100000010010000 |
| 0001011100000111 | 0000011100001111 | 0 | 0001111000010110 |
| 0000010100110001 | 0000111101110111 | 1 | 1111010110111010 |
| 0001011111100010 | 0000101000011011 | 0 | 0010000111111101 |
| 0001001101111010 | 0000111101000110 | 1 | 0000010000110100 |
| 0001000011100000 | 0010010100001011 | 0 | 0011010111101011 |
| 0000110010011110 | 0010010010111010 | 1 | 1110011111100100 |
| 0000100110010100 | 0001101011001011 | 0 | 0010010001011111 |
| 0001001110110101 | 0010001001000100 | 1 | 1111000101110001 |
| 0000110100111101 | 0001100001101100 | 1 | 1111010011010001 |
| 0000010111001001 | 0001000100011111 | 1 | 1111010010101010 |
| 0001011011000110 | 0010011001110000 | 1 | 1111000001010110 |
| 0000010111111101 | 0000110000110001 | 0 | 0001001000101110 |
| 0001101001011111 | 0001100110001011 | 1 | 0000000011010100 |
| 0001110000001001 | 0000100010110001 | 1 | 0001001101011000 |
| 0000010101111100 | 0001110011000000 | 0 | 0010001000111100 |
| 0000110100011011 | 0001101111011001 | 0 | 0010100011110100 |
| 0010000100001001 | 0001001110110001 | 1 | 0000110101011000 |
| 0000111011111001 | 0001111100001010 | 0 | 0010111000000011 |
| 0001101010000000 | 0001100010000111 | 0 | 0011001100000111 |
| 0001101001110000 | 0001110010011101 | 0 | 0011011100001101 |
| 0001011000011110 | 0001101001100100 | 0 | 0011000010000010 |
| 0000110100100010 | 0000111010100101 | 1 | 1111111001111101 |
| 0001000011100100 | 0001101011101010 | 0 | 0010101111001110 |
| 0001100001010011 | 0010000010000100 | 1 | 1111011111001111 |
| 0010010110011001 | 0001011110000110 | 0 | 0011110100011111 |
| 0000101100010100 | 0001001110110111 | 1 | 1111011101011101 |
| 0010011010100000 | 0001100100110101 | 1 | 0000110101101011 |
| 0001100000110111 | 0001110100001011 | 0 | 0011010101000010 |
| 0001110111011100 | 0001011111110011 | 0 | 0011010111001111 |
| 0001100110001100 | 0001110011101110 | 0 | 0011011001111010 |
| 0010011001010000 | 0010010011011010 | 1 | 0000000101110110 |
| 0000110011011101 | 0001100111111001 | 1 | 1111001011100100 |
| 0010010101011100 | 0010010001100000 | 1 | 0000000011111100 |
| 0010000101011100 | 0010000010101111 | 1 | 0000000010101101 |
| 0010001111100110 | 0001001011111101 | 1 | 0001000011101001 |
| 0001010001001011 | 0000111110110001 | 0 | 0010001111111100 |
| 0001011101110100 | 0010010010001100 | 1 | 1111001011101000 |
| 0001010001100001 | 0001011001101001 | 1 | 1111110111111000 |
| 0010011010101010 | 0001100010110100 | 1 | 0000110111110110 |
| 0001001101101001 | 0001100001110101 | 1 | 1111101011110100 |
| 0010000100101101 | 0001100011001100 | 1 | 0000100001100001 |
| 0000010001000010 | 0010001101111101 | 1 | 1110000011000101 |
| 0001101111000011 | 0010010011011101 | 1 | 1111011011100110 |
| 0000101000100100 | 0001010101001111 | 0 | 0001111101110011 |
| 0001110110101010 | 0001010110001000 | 1 | 0000100000100010 |
| 0010011000000101 | 0010000011000011 | 1 | 0000010101000010 |
| 0000111010001010 | 0000101111100111 | 1 | 0000001010100011 |
| 0001101110000110 | 0001000000001100 | 1 | 0000101101111010 |
| 0000011110110110 | 0010001110000110 | 0 | 0010101100111100 |
| 0001001111001001 | 0010000000001100 | 1 | 1111001110111101 |
| 0001110100011000 | 0010000010000100 | 1 | 1111110010010100 |
| 0001101110010101 | 0001111110101111 | 1 | 1111101111100110 |
| 0001000101000001 | 0001011011111011 | 1 | 1111101001000110 |
| 0001001100001100 | 0001010100111110 | 1 | 1111110111001110 |
| 0000100000001111 | 0000010110111110 | 0 | 0000110111001101 |
| 0010000110010101 | 0001101100001101 | 0 | 0011110010100010 |
| 0000100001010111 | 0010000010000000 | 0 | 0010100011010111 |
| 0001111000010011 | 0001010110111000 | 1 | 0000100001011011 |
| 0000100111110011 | 0010010101010100 | 0 | 0010111101000111 |
| 0000101100011000 | 0001100001101001 | 1 | 1111001010101111 |
| 0001010101110001 | 0001110001010000 | 0 | 0011000111000001 |
| 0010010011111110 | 0001001001111011 | 0 | 0011011101111001 |
| 0010001001000111 | 0010001110101110 | 0 | 0100010111110101 |
| 0001100101100010 | 0001010101111110 | 0 | 0010111011100000 |
| 0010010011000010 | 0010000101111011 | 1 | 0000001101000111 |
| 0000011011100000 | 0010011001101000 | 1 | 1110000001111000 |
| 0001100000000110 | 0001110100110000 | 0 | 0011010100110110 |
| 0000011111100001 | 0001010101101011 | 1 | 1111001001110110 |
| 0001000100010010 | 0001010010001010 | 0 | 0010010110011100 |
| 0001110110010001 | 0001000001100010 | 0 | 0010110111110011 |
| 0010010111110110 | 0000110011001101 | 1 | 0001100100101001 |
| 0001000111101101 | 0001001011010011 | 0 | 0010010011000000 |
| 0000011001110010 | 0001010100101010 | 0 | 0001101110011100 |
| 0000001111110101 | 0001100000111010 | 1 | 1110101110111011 |
| 0010011010101111 | 0000100101110010 | 1 | 0001110100111101 |
| 0001011011111000 | 0001110010101001 | 1 | 1111101001001111 |
| 0000111010111110 | 0001001111000011 | 0 | 0010001010000001 |
| 0001011000110111 | 0001010101000101 | 1 | 0000000011110010 |
| 0000111000111100 | 0000010001101011 | 1 | 0000100111010001 |
| 0000111101000100 | 0000110010000000 | 0 | 0001101111000100 |
| 0000010101011110 | 0010000111001100 | 1 | 1110001110010010 |
| 0001010010111001 | 0000100100000010 | 0 | 0001110110111011 |
| 0000110101000000 | 0001000010100000 | 1 | 1111110010100000 |
| 0010001001001100 | 0001101100001110 | 0 | 0011110101011010 |
| 0001001000110000 | 0010011011110000 | 1 | 1110101101000000 |
| 0001001001000111 | 0001111001010010 | 0 | 0011000010011001 |
| 0001110001111100 | 0010011001110101 | 1 | 1111011000000111 |
| 0001101000111010 | 0000101000111001 | 1 | 0001000000000001 |
| 0001010111101010 | 0001010110101111 | 0 | 0010101110011001 |
| 0001011000101110 | 0001011010111100 | 1 | 1111111101110010 |
| 0000100011110111 | 0001011110001000 | 0 | 0010000001111111 |
| 0000101000010110 | 0001101111111000 | 1 | 1110111000011110 |
| 0000111100000100 | 0001100001001100 | 1 | 1111011010111000 |
| 0001101101101001 | 0001111111111101 | 1 | 1111101101101100 |
| 0000110100110101 | 0000111000011010 | 1 | 1111111100011011 |
| 0001000000100001 | 0000110011010010 | 1 | 0000001101001111 |
| 0001101000000010 | 0001011111111101 | 0 | 0011000111111111 |
| 0001011001100110 | 0001101101111110 | 0 | 0011000111100100 |
| 0010000000100111 | 0001100000101110 | 1 | 0000011111111001 |
| 0000101000110010 | 0001110110001100 | 0 | 0010011110111110 |
| 0010000111110011 | 0010001100001100 | 1 | 1111111011100111 |
| 0000011010101110 | 0000100111110111 | 0 | 0001000010100101 |
| 0000101100010100 | 0000010111001001 | 0 | 0001000011011101 |
| 0001110010100111 | 0001111110110100 | 1 | 1111110011110011 |
| 0010010010001011 | 0001110101110111 | 1 | 0000011100010100 |
| 0010011001000111 | 0000100101101011 | 1 | 0001110011011100 |
| 0000101111110101 | 0010010001110101 | 1 | 1110011110000000 |
| 0000011101000011 | 0001100010100101 | 0 | 0001111111101000 |
| 0001111110011010 | 0000111101000010 | 1 | 0001000001011000 |
| 0000100000101100 | 0001111011111001 | 0 | 0010011100100101 |
| 0001101111100100 | 0001001011100000 | 1 | 0000100100000100 |
| 0010001011010111 | 0001001010111101 | 1 | 0001000000011010 |
| 0010001100111011 | 0001111101001110 | 0 | 0100001010001001 |
| 0000111010010110 | 0010001101100001 | 0 | 0011000111110111 |
| 0001011001111000 | 0000111010100100 | 0 | 0010010100011100 |
| 0000011000001001 | 0000110110110011 | 0 | 0001001110111100 |
| 0010000011001011 | 0000110101010011 | 1 | 0001001101111000 |
| 0001110101001000 | 0010001010100100 | 0 | 0011111111101100 |
| 0010001001000010 | 0000111101011101 | 0 | 0011000110011111 |
| 0001010110001100 | 0010011000000100 | 1 | 1110111110001000 |
| 0001011110101011 | 0000010010101111 | 0 | 0001110001011010 |
| 0001010110010001 | 0001101011000101 | 0 | 0011000001010110 |
| 0010000001110010 | 0001001100000000 | 0 | 0011001101110010 |
| 0001001010010101 | 0000111110100010 | 1 | 0000001011110011 |
| 0001110101001111 | 0000111000101011 | 1 | 0000111100100100 |
| 0001000011100000 | 0000110001000001 | 0 | 0001110100100001 |
| 0000010110110101 | 0001001011000110 | 1 | 1111001011101111 |
| 0001100000110011 | 0001011011111111 | 1 | 0000000100110100 |
| 0001100101101010 | 0010001111100000 | 0 | 0011110101001010 |
| 0001110110101100 | 0010011010110100 | 1 | 1111011011111000 |
| 0001011001011101 | 0000111111110010 | 1 | 0000011001101011 |
| 0001100010111000 | 0000100001111111 | 1 | 0001000000111001 |
| 0001101011011010 | 0001001001100100 | 1 | 0000100001110110 |
| 0000010010111101 | 0000101011011010 | 0 | 0000111110010111 |
| 0000011100010101 | 0001010111111011 | 1 | 1111000100011010 |
| 0001111010010111 | 0001001100001100 | 0 | 0011000110100011 |
| 0010010001100110 | 0001001000100010 | 0 | 0011011010001000 |
| 0000101011110010 | 0000110100010101 | 0 | 0001100000000111 |
| 0001101100100011 | 0001111100011101 | 1 | 1111110000000110 |
| 0001111001011010 | 0010001011010000 | 0 | 0100000100101010 |
| 0000101101101011 | 0001101100001110 | 1 | 1111000001011101 |
| 0010010010111001 | 0000011000011001 | 1 | 0001111010100000 |
| 0010001001111011 | 0000101010000011 | 1 | 0001011111111000 |
| 0001100001100101 | 0000101001000011 | 0 | 0010001010101000 |
| 0000100010001101 | 0000100100101001 | 0 | 0001000110110110 |
| 0001000101010101 | 0000111101000001 | 1 | 0000001000010100 |
| 0001011101111000 | 0000101101010110 | 1 | 0000110000100010 |
| 0000100101101010 | 0001000101000110 | 1 | 1111100000100100 |
| 0010001001110111 | 0001100111011111 | 0 | 0011110001010110 |
| 0001110001101011 | 0000010011100000 | 0 | 0010000101001011 |
| 0001000111000110 | 0001000001001110 | 1 | 0000000101111000 |
| 0000111110100001 | 0001011010110111 | 1 | 1111100011101010 |
| 0010001100011101 | 0000101010011010 | 0 | 0010110110110111 |
| 0010011000010011 | 0001000011010111 | 0 | 0011011011101010 |
| 0001001111011110 | 0001001001100111 | 1 | 0000000101110111 |
| 0001111000010010 | 0010000011000011 | 1 | 1111110101001111 |
| 0000110000011000 | 0000001111110001 | 0 | 0001000000001001 |
| 0000101100000111 | 0010010101011101 | 1 | 1110010110101010 |
| 0001111110010100 | 0000110101111100 | 1 | 0001001000011000 |
| 0010000110111011 | 0000101011111100 | 0 | 0010110010110111 |
| 0001011110101001 | 0001111100100000 | 1 | 1111100010001001 |
| 0000100100011111 | 0000010011111101 | 0 | 0000111000011100 |
| 0001011011111001 | 0001100110101100 | 1 | 1111110101001101 |
| 0001111010100101 | 0000011100010101 | 1 | 0001011110010000 |
| 0000010010101011 | 0010010001001010 | 1 | 1110000001100001 |
| 0001101111000000 | 0001001101011100 | 0 | 0010111100011100 |
| 0001110110101011 | 0000100111101111 | 1 | 0001001110111100 |
| 0000111111100111 | 0000011010011011 | 0 | 0001011010000010 |
| 0000011100000101 | 0001000100111111 | 0 | 0001100001000100 |
| 0001111111101110 | 0001110111101000 | 1 | 0000001000000110 |
| 0010001001011110 | 0010010001100111 | 1 | 1111110111110111 |
| 0001100110100100 | 0001100001100011 | 0 | 0011001000000111 |
| 0000101011000011 | 0000111111010000 | 0 | 0001101010010011 |
| 0000110001110011 | 0000111111010010 | 0 | 0001110001000101 |
| 0000101100010001 | 0001001100111110 | 0 | 0001111001001111 |
| 0001011101000111 | 0000010111101100 | 0 | 0001110100110011 |
| 0010001011000011 | 0010000000110111 | 0 | 0100001011111010 |
| 0000110101001000 | 0000110110000010 | 1 | 1111111111000110 |
| 0000011101110000 | 0000111011111110 | 0 | 0001011001101110 |
| 0001111000010010 | 0001000001010100 | 0 | 0010111001100110 |
| 0000011001011010 | 0001011000010000 | 1 | 1111000001001010 |
| 0000110000111010 | 0001101001010101 | 1 | 1111000111100101 |
| 0000100100000001 | 0001100101111100 | 0 | 0010001001111101 |
| 0000101101101110 | 0001111001010110 | 0 | 0010100111000100 |
| 0000100110111111 | 0000111101010110 | 0 | 0001100100010101 |
| 0001111000101001 | 0001001000100010 | 0 | 0011000001001011 |
| 0001101100000001 | 0000110101001110 | 0 | 0010100001001111 |
| 0001000010110111 | 0001010010100111 | 0 | 0010010101011110 |
| 0000110110001110 | 0001100101010011 | 1 | 1111010000111011 |
| 0001001100010101 | 0000110100000011 | 0 | 0010000000011000 |
| 0001100001101010 | 0001101111100000 | 1 | 1111110010001010 |
| 0000010000101000 | 0000110111011010 | 1 | 1111011001001110 |
| 0010000100001111 | 0000011000111011 | 0 | 0010011101001010 |
| 0000100111001110 | 0000010101001001 | 0 | 0000111100010111 |
| 0010011010110111 | 0000011000000100 | 0 | 0010110010111011 |
| 0000111100011001 | 0010010111010101 | 1 | 1110100101000100 |
| 0001101010100010 | 0001101111100100 | 1 | 1111111010111110 |
| 0001111100100010 | 0000111101001101 | 1 | 0000111111010101 |
| 0000100111110111 | 0010000111100100 | 1 | 1110100000010011 |
| 0001011000111001 | 0001101101101001 | 1 | 1111101011010000 |
| 0001010001001111 | 0001110000010101 | 1 | 1111100000111010 |
| 0000111001100100 | 0000101110101110 | 0 | 0001101000010010 |
