| time | up  | out |
| 482+ |  0  | 118 |
| 483  |  0  | 117 |
| 483+ |  0  | 117 |
| 484  |  0  | 116 |
| 484+ |  0  | 116 |
| 485  |  0  | 115 |
| 485+ |  0  | 115 |
| 486  |  0  | 114 |
| 486+ |  0  | 114 |
| 487  |  0  | 113 |
| 487+ |  0  | 113 |
| 488  |  0  | 112 |
| 488+ |  0  | 112 |
| 489  |  0  | 111 |
| 489+ |  0  | 111 |
| 490  |  0  | 110 |
| 490+ |  0  | 110 |
| 491  |  0  | 109 |
| 491+ |  0  | 109 |
| 492  |  0  | 108 |
| 492+ |  0  | 108 |
| 493  |  0  | 107 |
| 493+ |  0  | 107 |
| 494  |  0  | 106 |
| 494+ |  0  | 106 |
| 495  |  0  | 105 |
| 495+ |  0  | 105 |
| 496  |  0  | 104 |
| 496+ |  0  | 104 |
| 497  |  0  | 103 |
| 497+ |  0  | 103 |
| 498  |  0  | 102 |
| 498+ |  0  | 102 |
| 499  |  0  | 101 |
| 499+ |  0  | 101 |
| 500  |  0  | 100 |
| 500+ |  0  | 100 |
| 501  |  0  |  99 |
| 501+ |  0  |  99 |
| 502  |  0  |  98 |
| 502+ |  0  |  98 |
| 503  |  0  |  97 |
| 503+ |  0  |  97 |
| 504  |  0  |  96 |
| 504+ |  0  |  96 |
| 505  |  0  |  95 |
| 505+ |  0  |  95 |
| 506  |  0  |  94 |
| 506+ |  0  |  94 |
| 507  |  0  |  93 |
| 507+ |  0  |  93 |
| 508  |  0  |  92 |
| 508+ |  0  |  92 |
| 509  |  0  |  91 |
| 509+ |  0  |  91 |
| 510  |  0  |  90 |
| 510+ |  0  |  90 |
| 511  |  0  |  89 |
| 511+ |  0  |  89 |
| 512  |  0  |  88 |
| 512+ |  0  |  88 |
| 513  |  0  |  87 |
| 513+ |  0  |  87 |
| 514  |  0  |  86 |
| 514+ |  0  |  86 |
| 515  |  0  |  85 |
| 515+ |  0  |  85 |
| 516  |  0  |  84 |
| 516+ |  0  |  84 |
| 517  |  0  |  83 |
| 517+ |  0  |  83 |
| 518  |  0  |  82 |
| 518+ |  0  |  82 |
| 519  |  0  |  81 |
| 519+ |  0  |  81 |
| 520  |  0  |  80 |
| 520+ |  0  |  80 |
| 521  |  0  |  79 |
| 521+ |  0  |  79 |
| 522  |  0  |  78 |
| 522+ |  0  |  78 |
| 523  |  0  |  77 |
| 523+ |  0  |  77 |
| 524  |  0  |  76 |
| 524+ |  0  |  76 |
| 525  |  0  |  75 |
| 525+ |  0  |  75 |
| 526  |  0  |  74 |
| 526+ |  0  |  74 |
| 527  |  0  |  73 |
| 527+ |  0  |  73 |
| 528  |  0  |  72 |
| 528+ |  0  |  72 |
| 529  |  0  |  71 |
| 529+ |  0  |  71 |
| 530  |  0  |  70 |
| 530+ |  0  |  70 |
| 531  |  0  |  69 |
| 531+ |  0  |  69 |
| 532  |  0  |  68 |
| 532+ |  0  |  68 |
| 533  |  0  |  67 |
| 533+ |  0  |  67 |
| 534  |  0  |  66 |
| 534+ |  0  |  66 |
| 535  |  0  |  65 |
| 535+ |  0  |  65 |
| 536  |  0  |  64 |
| 536+ |  0  |  64 |
| 537  |  0  |  63 |
| 537+ |  0  |  63 |
| 538  |  0  |  62 |
| 538+ |  0  |  62 |
| 539  |  0  |  61 |
| 539+ |  0  |  61 |
| 540  |  0  |  60 |
| 540+ |  0  |  60 |
| 541  |  0  |  59 |
| 541+ |  0  |  59 |
| 542  |  0  |  58 |
| 542+ |  0  |  58 |
| 543  |  0  |  57 |
| 543+ |  0  |  57 |
| 544  |  0  |  56 |
| 544+ |  0  |  56 |
| 545  |  0  |  55 |
| 545+ |  0  |  55 |
| 546  |  0  |  54 |
| 546+ |  0  |  54 |
| 547  |  0  |  53 |
| 547+ |  0  |  53 |
| 548  |  0  |  52 |
| 548+ |  0  |  52 |
| 549  |  0  |  51 |
| 549+ |  0  |  51 |
| 550  |  0  |  50 |
| 550+ |  0  |  50 |
| 551  |  0  |  49 |
| 551+ |  0  |  49 |
| 552  |  0  |  48 |
| 552+ |  0  |  48 |
| 553  |  0  |  47 |
| 553+ |  0  |  47 |
| 554  |  0  |  46 |
| 554+ |  0  |  46 |
| 555  |  0  |  45 |
| 555+ |  0  |  45 |
| 556  |  0  |  44 |
| 556+ |  0  |  44 |
| 557  |  0  |  43 |
| 557+ |  0  |  43 |
| 558  |  0  |  42 |
| 558+ |  0  |  42 |
| 559  |  0  |  41 |
| 559+ |  0  |  41 |
| 560  |  0  |  40 |
| 560+ |  0  |  40 |
| 561  |  0  |  39 |
| 561+ |  0  |  39 |
| 562  |  0  |  38 |
| 562+ |  0  |  38 |
| 563  |  0  |  37 |
| 563+ |  0  |  37 |
| 564  |  0  |  36 |
| 564+ |  0  |  36 |
| 565  |  0  |  35 |
| 565+ |  0  |  35 |
| 566  |  0  |  34 |
| 566+ |  0  |  34 |
| 567  |  0  |  33 |
| 567+ |  0  |  33 |
| 568  |  0  |  32 |
| 568+ |  0  |  32 |
| 569  |  0  |  31 |
| 569+ |  0  |  31 |
| 570  |  0  |  30 |
| 570+ |  0  |  30 |
| 571  |  0  |  29 |
| 571+ |  0  |  29 |
| 572  |  0  |  28 |
| 572+ |  0  |  28 |
| 573  |  0  |  27 |
| 573+ |  0  |  27 |
| 574  |  0  |  26 |
| 574+ |  0  |  26 |
| 575  |  0  |  25 |
| 575+ |  0  |  25 |
| 576  |  0  |  24 |
| 576+ |  0  |  24 |
| 577  |  0  |  23 |
| 577+ |  0  |  23 |
| 578  |  0  |  22 |
| 578+ |  0  |  22 |
| 579  |  0  |  21 |
| 579+ |  0  |  21 |
| 580  |  0  |  20 |
| 580+ |  0  |  20 |
| 581  |  0  |  19 |
| 581+ |  0  |  19 |
| 582  |  0  |  18 |
| 582+ |  0  |  18 |
| 583  |  0  |  17 |
| 583+ |  0  |  17 |
| 584  |  0  |  16 |
| 584+ |  0  |  16 |
| 585  |  0  |  15 |
| 585+ |  0  |  15 |
| 586  |  0  |  14 |
| 586+ |  0  |  14 |
| 587  |  0  |  13 |
| 587+ |  0  |  13 |
| 588  |  0  |  12 |
| 588+ |  0  |  12 |
| 589  |  0  |  11 |
| 589+ |  0  |  11 |
| 590  |  0  |  10 |
| 590+ |  0  |  10 |
| 591  |  0  |   9 |
| 591+ |  0  |   9 |
| 592  |  0  |   8 |
| 592+ |  0  |   8 |
| 593  |  0  |   7 |
| 593+ |  0  |   7 |
| 594  |  0  |   6 |
| 594+ |  0  |   6 |
| 595  |  0  |   5 |
| 595+ |  0  |   5 |
| 596  |  0  |   4 |
| 596+ |  0  |   4 |
| 597  |  0  |   3 |
| 597+ |  0  |   3 |
| 598  |  0  |   2 |
| 598+ |  0  |   2 |
| 599  |  0  |   1 |
| 599+ |  0  |   1 |
| 600  |  0  |   0 |
